date,strategyAsOfDate,priceType,source,dataPolicy,market,code,name,close,ma5,ma20,ma60,ma240,rise60,volume,avgVolume20,volumeRatio,adx,kline,theme,trend,fund,themeHit,priceVol,score,strictOk,status,reason,priceVerified,officialTradeDate,officialClose,yahooCloseBeforeAudit,officialSource,pattern,neckline,support,target,stage,entryBreakout,entryPullback,chaseRangeLow,chaseRangeHigh,observationEntry,limitPrice,stopLoss,riskPct,winRate,distanceFromNecklinePct,distanceFromPrevHighPct,forbiddenChase,planStatus,confirmConditions
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,3483,力致,110.5,100.56,93.73,88.19,97.07,33.45,4245317,1338105,3.17,34.89,紅K突破,,True,True,False,True,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,110.5,110.5,TPEx,旗型整理突破,110.5,89.05,145.9,回踩頸線不破,112.71,110.5,112.71,116.09,112.71,112.71,107.19,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 110.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,4908,前鼎,251.0,236.5,244.75,174.89,104.78,185.88,5138944,2344881,2.19,40.05,紅K突破,光通訊 CPO 網通,True,True,True,True,4,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、題材命中、價量條件足,True,2026-06-03,251.0,251.0,TPEx,接近成形,312.5,232.51,538.5,接近成形＋可觀察,318.75,312.5,318.75,328.31,318.75,318.75,303.12,-20.77,低,-19.68,19.68,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 312.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,6217,中探針,292.0,293.3,286.35,234.57,94.31,192.29,11644622,4524659,2.57,9.19,長黑,半導體 探針卡 AI 先進封裝,True,True,True,False,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、題材命中,True,2026-06-03,292.0,292.0,TPEx,旗型整理突破,371.0,272.03,642.1,接近成形＋可觀察,378.42,371.0,378.42,389.77,378.42,378.42,359.87,-23.24,低,-21.29,21.29,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 371.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上市,1809,中釉,56.2,48.4,42.19,32.15,22.37,137.13,44262329,12120513,3.65,56.91,下影線,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,False,,,,,旗型整理突破,57.8,40.08,92.7,接近成形＋可觀察,58.96,57.8,58.96,60.72,58.96,58.96,56.07,0.24,中,-2.77,2.77,False,預備單，等待確認條件,收盤站上頸線 57.8 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,8040,九暘,105.5,108.9,98.95,70.74,57.9,125.67,1565301,3857533,0.41,69.32,一般K,IC設計 網通 半導體,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,True,2026-06-03,105.5,105.5,TPEx,接近成形,130.5,94.0,215.25,接近成形＋可觀察,133.11,130.5,133.11,137.1,133.11,133.11,126.58,-19.99,低,-19.16,19.16,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 130.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,6190,萬泰科,83.0,87.16,80.88,66.85,49.6,88.64,5488023,10290980,0.53,40.05,一般K,電線電纜 網通 伺服器,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,True,2026-06-03,83.0,83.0,TPEx,接近成形,99.6,76.83,155.45,接近成形＋可觀察,101.59,99.6,101.59,104.64,101.59,101.59,96.61,-16.4,低,-16.67,16.67,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 99.6 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,3556,禾瑞亞,76.0,71.72,58.07,50.46,41.44,87.42,3675073,1454509,2.53,45.55,一般K,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,76.0,76.0,TPEx,旗型整理突破,81.0,55.17,122.0,接近成形＋可觀察,82.62,81.0,82.62,85.1,82.62,82.62,78.57,-3.38,中,-6.17,6.17,False,預備單，等待確認條件,收盤站上頸線 81.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上市,2376,技嘉,399.0,376.8,335.2,281.17,268.68,85.58,23390252,20611316,1.13,44.59,紅K突破,AI 伺服器 電腦系統,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,False,,,,,旗型整理突破,402.0,318.44,597.5,接近成形＋可觀察,410.04,402.0,410.04,422.34,410.04,410.04,389.94,2.27,中,-0.75,0.75,False,預備單，等待確認條件,收盤站上頸線 402.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,3086,華義,39.75,34.38,36.56,33.78,22.44,78.25,3340564,803638,4.16,40.48,下影線,遊戲 軟體 題材股,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,39.75,39.75,TPEx,旗型整理突破,44.2,34.73,66.9,接近成形＋可觀察,45.08,44.2,45.08,46.44,45.08,45.08,42.87,-7.86,低,-10.07,16.32,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 44.2 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-03,2026-06-03,官方收盤確認價,TWSE / TPEx 官方收盤資料校驗 + Yahoo Finance 日K,台股收盤價以官方交易所資料校驗；不使用盤中未完成K,上櫃,8102,傑霖科技,79.0,72.3,66.47,62.32,72.6,71.74,217883,63766,3.42,36.71,下影線,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,True,2026-06-03,79.0,79.0,TPEx,旗型整理突破,80.5,63.15,115.0,接近成形＋可觀察,82.11,80.5,82.11,84.57,82.11,82.11,78.08,1.16,中,-1.86,3.54,False,預備單，等待確認條件,收盤站上頸線 80.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
